0	2.3771856716e-09
0.5	2.1337807757e-09
1	1.8903758798e-09
1.5	1.7897749307e-09
2	1.6891739816e-09
2.5	1.6448777522e-09
3	1.6005815228e-09
3.5	1.57664690965e-09
4	1.5527122965e-09
4.5	1.5379029556e-09
5	1.5230936147e-09
5.5	1.51305194425e-09
6	1.5030102738e-09
6.5	1.4957714837e-09
7	1.4885326936e-09
7.5	1.4830722781e-09
8	1.4776118626e-09
8.5	1.47334852815e-09
9	1.4690851937e-09
9.5	1.4656653331e-09
10	1.4622454725e-09
10.5	1.4594419173e-09
11	1.4566383621e-09
11.5	1.45429862815e-09
12	1.4519588942e-09
12.5	1.44997687755e-09
13	1.4479948609e-09
13.5	1.4462944774e-09
14	1.4445940939e-09
14.5	1.44311937845e-09
15	1.441644663e-09
15.5	1.44035354005e-09
16	1.4390624171e-09
16.5	1.4379226477e-09
17	1.4367828783e-09
17.5	1.43576934715e-09
18	1.434755816e-09
18.5	1.4338486687e-09
19	1.4329415214e-09
19.5	1.43212485635e-09
20	1.4313081913e-09
20.5	1.4305691235e-09
21	1.4298300557e-09
21.5	1.4291580342e-09
22	1.4284860127e-09
22.5	1.4278723153e-09
23	1.4272586179e-09
23.5	1.42669597165e-09
24	1.4261333254e-09
24.5	1.4256156177e-09
25	1.42509791e-09
25.5	1.4246199662e-09
26	1.4241420224e-09
26.5	1.42369943265e-09
27	1.4232568429e-09
27.5	1.4228458259e-09
28	1.4224348089e-09
28.5	1.42205210385e-09
29	1.4216693988e-09
29.5	1.42131217875e-09
30	1.4209549587e-09
30.5	1.42062076095e-09
31	1.4202865632e-09
31.5	1.4199732322e-09
32	1.4196599012e-09
32.5	1.4193655424e-09
33	1.4190711836e-09
33.5	1.41879412495e-09
34	1.4185170663e-09
34.5	1.41825582655e-09
35	1.4179945868e-09
35.5	1.41774784915e-09
36	1.4175011115e-09
36.5	1.4172677012e-09
37	1.4170342909e-09
37.5	1.4168131568e-09
38	1.4165920227e-09
38.5	1.4163822213e-09
39	1.4161724199e-09
39.5	1.41597310205e-09
40	1.4157737842e-09
40.5	1.4155841833e-09
41	1.4153945824e-09
41.5	1.415214005e-09
42	1.4150334276e-09
42.5	1.41486124465e-09
43	1.4146890617e-09
43.5	1.41452470115e-09
44	1.4143603406e-09
44.5	1.41420328135e-09
45	1.4140462221e-09
45.5	1.41389598825e-09
46	1.4137457544e-09
46.5	1.41360191065e-09
47	1.4134580669e-09
47.5	1.41332021395e-09
48	1.413182361e-09
48.5	1.4130501324e-09
49	1.4129179038e-09
49.5	1.41279096225e-09
50	1.4126640207e-09
