0	1.6800647907e-09
0.5	1.362283844e-09
1	1.0445028973e-09
1.5	9.1128324841e-10
2	7.7806359952e-10
2.5	7.143703135e-10
3	6.5067702748e-10
3.5	6.1351454326e-10
4	5.7635205904e-10
4.5	5.51769803325e-10
5	5.2718754761e-10
5.5	5.09564614095e-10
6	4.9194168058e-10
6.5	4.7859297722e-10
7	4.6524427386e-10
7.5	4.5472356527e-10
8	4.4420285668e-10
8.5	4.3565907839e-10
9	4.271153001e-10
9.5	4.20013117255e-10
10	4.1291093441e-10
10.5	4.0689570386e-10
11	4.0088047331e-10
11.5	3.9570729551e-10
12	3.9053411771e-10
12.5	3.86028034815e-10
13	3.8152195192e-10
13.5	3.77554387015e-10
14	3.7358682211e-10
14.5	3.700609958e-10
15	3.6653516949e-10
15.5	3.6337673138e-10
16	3.6021829327e-10
16.5	3.5736909778e-10
17	3.5451990229e-10
17.5	3.5193376823e-10
18	3.4934763417e-10
18.5	3.4698737718e-10
19	3.4462712019e-10
19.5	3.42462434005e-10
20	3.4029774782e-10
20.5	3.38303662155e-10
21	3.3630957649e-10
21.5	3.344653155e-10
22	3.3262105451e-10
22.5	3.30909178735e-10
23	3.2919730296e-10
23.5	3.2760305553e-10
24	3.260088081e-10
24.5	3.2451961022e-10
25	3.2303041234e-10
25.5	3.2163546958e-10
26	3.2024052682e-10
26.5	3.1893051859e-10
27	3.1762051036e-10
27.5	3.163873427e-10
28	3.1515417504e-10
28.5	3.13990782015e-10
29	3.1282738899e-10
29.5	3.11727571845e-10
30	3.106277547e-10
30.5	3.09586050595e-10
31	3.0854434649e-10
31.5	3.07555920635e-10
32	3.0656749478e-10
32.5	3.0562805115e-10
33	3.0468860752e-10
33.5	3.037943146e-10
34	3.0290002168e-10
34.5	3.0204745025e-10
35	3.0119487882e-10
35.5	3.0038094958e-10
36	2.9956702034e-10
36.5	2.98788959615e-10
37	2.9801089889e-10
37.5	2.97266200975e-10
38	2.9652150306e-10
38.5	2.95807898035e-10
39	2.9509429301e-10
39.5	2.94409719155e-10
40	2.937251453e-10
40.5	2.9306772532e-10
41	2.9241030534e-10
41.5	2.91778325835e-10
42	2.9114634633e-10
42.5	2.90538239955e-10
43	2.8993013358e-10
43.5	2.89344463535e-10
44	2.8875879349e-10
44.5	2.8819423993e-10
45	2.8762968637e-10
45.5	2.8708503455e-10
46	2.8654038273e-10
46.5	2.86014512535e-10
47	2.8548864234e-10
47.5	2.8498051907e-10
48	2.844723958e-10
48.5	2.8398106205e-10
49	2.834897283e-10
49.5	2.83014296715e-10
50	2.8253886513e-10
